Date,Destination,Night Price($),Destination_ID,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
2024-02-24,San Francisco,192,1,166.0,208.0,231.0,201.0,186.0,171.0,186.0,174.0,164.0,276.0,252.0,214.0
2024-02-25,San Francisco,208,1,192.0,166.0,208.0,231.0,201.0,186.0,171.0,186.0,174.0,164.0,276.0,252.0
2024-02-26,San Francisco,170,1,208.0,192.0,166.0,208.0,231.0,201.0,186.0,171.0,186.0,174.0,164.0,276.0
2024-02-27,San Francisco,218,1,170.0,208.0,192.0,166.0,208.0,231.0,201.0,186.0,171.0,186.0,174.0,164.0
2024-02-28,San Francisco,262,1,218.0,170.0,208.0,192.0,166.0,208.0,231.0,201.0,186.0,171.0,186.0,174.0
2024-02-29,San Francisco,226,1,262.0,218.0,170.0,208.0,192.0,166.0,208.0,231.0,201.0,186.0,171.0,186.0
2024-04-01,Los Angeles,254,0,226.0,262.0,218.0,170.0,208.0,192.0,166.0,208.0,231.0,201.0,186.0,171.0
2024-04-02,Los Angeles,191,0,254.0,226.0,262.0,218.0,170.0,208.0,192.0,166.0,208.0,231.0,201.0,186.0
2024-04-03,Los Angeles,213,0,191.0,254.0,226.0,262.0,218.0,170.0,208.0,192.0,166.0,208.0,231.0,201.0
2024-04-04,Los Angeles,103,0,213.0,191.0,254.0,226.0,262.0,218.0,170.0,208.0,192.0,166.0,208.0,231.0
2024-04-05,Los Angeles,223,0,103.0,213.0,191.0,254.0,226.0,262.0,218.0,170.0,208.0,192.0,166.0,208.0
2024-04-06,Los Angeles,222,0,223.0,103.0,213.0,191.0,254.0,226.0,262.0,218.0,170.0,208.0,192.0,166.0
2024-04-07,Los Angeles,223,0,222.0,223.0,103.0,213.0,191.0,254.0,226.0,262.0,218.0,170.0,208.0,192.0
2024-04-08,Los Angeles,288,0,223.0,222.0,223.0,103.0,213.0,191.0,254.0,226.0,262.0,218.0,170.0,208.0
2024-04-09,Los Angeles,236,0,288.0,223.0,222.0,223.0,103.0,213.0,191.0,254.0,226.0,262.0,218.0,170.0
2024-04-10,Los Angeles,171,0,236.0,288.0,223.0,222.0,223.0,103.0,213.0,191.0,254.0,226.0,262.0,218.0
2024-04-11,Los Angeles,187,0,171.0,236.0,288.0,223.0,222.0,223.0,103.0,213.0,191.0,254.0,226.0,262.0
2024-04-12,Los Angeles,239,0,187.0,171.0,236.0,288.0,223.0,222.0,223.0,103.0,213.0,191.0,254.0,226.0
2024-04-13,Los Angeles,112,0,239.0,187.0,171.0,236.0,288.0,223.0,222.0,223.0,103.0,213.0,191.0,254.0
2024-04-14,Los Angeles,233,0,112.0,239.0,187.0,171.0,236.0,288.0,223.0,222.0,223.0,103.0,213.0,191.0
2024-04-15,Los Angeles,234,0,233.0,112.0,239.0,187.0,171.0,236.0,288.0,223.0,222.0,223.0,103.0,213.0
2024-04-16,Los Angeles,142,0,234.0,233.0,112.0,239.0,187.0,171.0,236.0,288.0,223.0,222.0,223.0,103.0
2024-04-17,Los Angeles,125,0,142.0,234.0,233.0,112.0,239.0,187.0,171.0,236.0,288.0,223.0,222.0,223.0
2024-04-18,Los Angeles,163,0,125.0,142.0,234.0,233.0,112.0,239.0,187.0,171.0,236.0,288.0,223.0,222.0
2024-04-19,Los Angeles,172,0,163.0,125.0,142.0,234.0,233.0,112.0,239.0,187.0,171.0,236.0,288.0,223.0
2024-04-20,Los Angeles,214,0,172.0,163.0,125.0,142.0,234.0,233.0,112.0,239.0,187.0,171.0,236.0,288.0
2024-04-21,Los Angeles,187,0,214.0,172.0,163.0,125.0,142.0,234.0,233.0,112.0,239.0,187.0,171.0,236.0
2024-04-22,Los Angeles,297,0,187.0,214.0,172.0,163.0,125.0,142.0,234.0,233.0,112.0,239.0,187.0,171.0
2024-04-23,Los Angeles,120,0,297.0,187.0,214.0,172.0,163.0,125.0,142.0,234.0,233.0,112.0,239.0,187.0
2024-04-24,Los Angeles,141,0,120.0,297.0,187.0,214.0,172.0,163.0,125.0,142.0,234.0,233.0,112.0,239.0
2024-04-25,Los Angeles,132,0,141.0,120.0,297.0,187.0,214.0,172.0,163.0,125.0,142.0,234.0,233.0,112.0
2024-04-26,Los Angeles,230,0,132.0,141.0,120.0,297.0,187.0,214.0,172.0,163.0,125.0,142.0,234.0,233.0
2024-04-27,Los Angeles,150,0,230.0,132.0,141.0,120.0,297.0,187.0,214.0,172.0,163.0,125.0,142.0,234.0
2024-04-28,Los Angeles,193,0,150.0,230.0,132.0,141.0,120.0,297.0,187.0,214.0,172.0,163.0,125.0,142.0
2024-04-29,Los Angeles,148,0,193.0,150.0,230.0,132.0,141.0,120.0,297.0,187.0,214.0,172.0,163.0,125.0
2024-04-30,Los Angeles,131,0,148.0,193.0,150.0,230.0,132.0,141.0,120.0,297.0,187.0,214.0,172.0,163.0
2024-04-01,San Francisco,228,1,131.0,148.0,193.0,150.0,230.0,132.0,141.0,120.0,297.0,187.0,214.0,172.0
2024-04-02,San Francisco,184,1,228.0,131.0,148.0,193.0,150.0,230.0,132.0,141.0,120.0,297.0,187.0,214.0
2024-04-03,San Francisco,221,1,184.0,228.0,131.0,148.0,193.0,150.0,230.0,132.0,141.0,120.0,297.0,187.0
2024-04-04,San Francisco,103,1,221.0,184.0,228.0,131.0,148.0,193.0,150.0,230.0,132.0,141.0,120.0,297.0
2024-04-05,San Francisco,160,1,103.0,221.0,184.0,228.0,131.0,148.0,193.0,150.0,230.0,132.0,141.0,120.0
2024-04-06,San Francisco,232,1,160.0,103.0,221.0,184.0,228.0,131.0,148.0,193.0,150.0,230.0,132.0,141.0
2024-04-07,San Francisco,158,1,232.0,160.0,103.0,221.0,184.0,228.0,131.0,148.0,193.0,150.0,230.0,132.0
2024-04-08,San Francisco,223,1,158.0,232.0,160.0,103.0,221.0,184.0,228.0,131.0,148.0,193.0,150.0,230.0
2024-04-09,San Francisco,185,1,223.0,158.0,232.0,160.0,103.0,221.0,184.0,228.0,131.0,148.0,193.0,150.0
2024-04-10,San Francisco,127,1,185.0,223.0,158.0,232.0,160.0,103.0,221.0,184.0,228.0,131.0,148.0,193.0
2024-04-11,San Francisco,159,1,127.0,185.0,223.0,158.0,232.0,160.0,103.0,221.0,184.0,228.0,131.0,148.0
