origin,destination,date_from,date_to,flight_price,hotel_name,stars,address,amenities,hotel_price,total_price
Chicago,San Francisco,2024-01-01,2024-01-04,250,Null,5,Null,Null,920,1170
Los Angeles,San Francisco,2024-01-01,2024-01-05,120,Null,4,Null,Null,228,348
Los Angeles,San Francisco,2024-01-01,2024-01-06,120,Null,5,Null,Null,920,1040
San Diego,San Francisco,2024-01-01,2024-01-03,229,Null,4,Null,Null,228,457
San Diego,San Francisco,2024-01-01,2024-01-04,229,Null,5,Null,Null,920,1149
Seattle,Los Angeles,2024-01-01,2024-01-03,220,Null,4,Null,Null,273,493
Seattle,Los Angeles,2024-01-01,2024-01-07,220,Null,5,Null,Null,1575,1795
NYC,Los Angeles,2024-01-01,2024-01-07,380,Null,4,Null,Null,273,653
NYC,Los Angeles,2024-01-01,2024-01-04,380,Null,5,Null,Null,1575,1955
Chicago,Los Angeles,2024-01-01,2024-01-08,250,Null,4,Null,Null,273,523
Chicago,Los Angeles,2024-01-01,2024-01-04,250,Null,5,Null,Null,1575,1825
San Francisco,Los Angeles,2024-01-01,2024-01-02,265,Null,4,Null,Null,273,538
San Francisco,Los Angeles,2024-01-01,2024-01-04,265,Null,5,Null,Null,1575,1840
San Diego,Los Angeles,2024-01-01,2024-01-05,120,Null,4,Null,Null,273,393
San Diego,Los Angeles,2024-01-01,2024-01-05,120,Null,5,Null,Null,1575,1695
Seattle,San Diego,2024-01-01,2024-01-04,210,Null,4,Null,Null,406,616
Seattle,San Diego,2024-01-01,2024-01-07,210,Null,5,Null,Null,1235,1445
NYC,San Diego,2024-01-01,2024-01-06,230,Null,4,Null,Null,406,636
NYC,San Diego,2024-01-01,2024-01-07,230,Null,5,Null,Null,1235,1465
Chicago,San Diego,2024-01-01,2024-01-02,280,Null,4,Null,Null,406,686
Chicago,San Diego,2024-01-01,2024-01-03,280,Null,5,Null,Null,1235,1515
San Francisco,San Diego,2024-01-01,2024-01-07,180,Null,4,Null,Null,406,586
San Francisco,San Diego,2024-01-01,2024-01-04,180,Null,5,Null,Null,1235,1415
Los Angeles,San Diego,2024-01-01,2024-01-02,160,Null,4,Null,Null,406,566
Los Angeles,San Diego,2024-01-01,2024-01-05,160,Null,5,Null,Null,1235,1395
NYC,Seattle,2024-01-01,2024-01-04,366,Null,4,Null,Null,304,670
NYC,Seattle,2024-01-01,2024-01-02,366,Null,5,Null,Null,945,1311
Chicago,Seattle,2024-01-01,2024-01-07,280,Null,4,Null,Null,304,584
Chicago,Seattle,2024-01-01,2024-01-05,280,Null,5,Null,Null,945,1225
San Francisco,Seattle,2024-01-01,2024-01-08,240,Null,4,Null,Null,304,544
San Francisco,Seattle,2024-01-01,2024-01-03,240,Null,5,Null,Null,945,1185
Los Angeles,Seattle,2024-01-01,2024-01-08,240,Null,4,Null,Null,304,544
Los Angeles,Seattle,2024-01-01,2024-01-04,240,Null,5,Null,Null,945,1185
San Diego,Seattle,2024-01-01,2024-01-04,200,Null,4,Null,Null,304,504
San Diego,Seattle,2024-01-01,2024-01-04,200,Null,5,Null,Null,945,1145
Seattle,NYC,2024-01-02,2024-01-08,370,Null,4,Null,Null,269,639
Seattle,NYC,2024-01-02,2024-01-07,370,Null,5,Null,Null,1879,2249
Chicago,NYC,2024-01-02,2024-01-06,219,Null,4,Null,Null,269,488
Chicago,NYC,2024-01-02,2024-01-04,219,Null,5,Null,Null,1879,2098
San Francisco,NYC,2024-01-02,2024-01-09,240,Null,4,Null,Null,269,509
San Francisco,NYC,2024-01-02,2024-01-05,240,Null,5,Null,Null,1879,2119
Los Angeles,NYC,2024-01-02,2024-01-06,283,Null,4,Null,Null,269,552
Los Angeles,NYC,2024-01-02,2024-01-09,283,Null,5,Null,Null,1879,2162
San Diego,NYC,2024-01-02,2024-01-03,254,Null,4,Null,Null,269,523
San Diego,NYC,2024-01-02,2024-01-07,254,Null,5,Null,Null,1879,2133
Seattle,Chicago,2024-01-02,2024-01-04,245,Null,4,Null,Null,134,379
Seattle,Chicago,2024-01-02,2024-01-09,245,Null,5,Null,Null,318,563
NYC,Chicago,2024-01-02,2024-01-09,222,Null,4,Null,Null,134,356
NYC,Chicago,2024-01-02,2024-01-05,222,Null,5,Null,Null,318,540
San Francisco,Chicago,2024-01-02,2024-01-04,250,Null,4,Null,Null,134,384
San Francisco,Chicago,2024-01-02,2024-01-09,250,Null,5,Null,Null,318,568
Los Angeles,Chicago,2024-01-02,2024-01-08,218,Null,4,Null,Null,134,352
Los Angeles,Chicago,2024-01-02,2024-01-05,218,Null,5,Null,Null,318,536
San Diego,Chicago,2024-01-02,2024-01-03,251,Null,4,Null,Null,134,385
San Diego,Chicago,2024-01-02,2024-01-08,251,Null,5,Null,Null,318,569
Seattle,San Francisco,2024-01-02,2024-01-09,265,Null,4,Null,Null,231,496
Seattle,San Francisco,2024-01-02,2024-01-03,265,Null,5,Null,Null,610,875
NYC,San Francisco,2024-01-02,2024-01-08,218,Null,4,Null,Null,231,449
NYC,San Francisco,2024-01-02,2024-01-06,218,Null,5,Null,Null,610,828
Chicago,San Francisco,2024-01-02,2024-01-08,209,Null,4,Null,Null,231,440
Chicago,San Francisco,2024-01-02,2024-01-04,209,Null,5,Null,Null,610,819
Los Angeles,San Francisco,2024-01-02,2024-01-05,131,Null,4,Null,Null,231,362
Los Angeles,San Francisco,2024-01-02,2024-01-09,131,Null,5,Null,Null,610,741
San Diego,San Francisco,2024-01-02,2024-01-04,207,Null,4,Null,Null,231,438
San Diego,San Francisco,2024-01-02,2024-01-09,207,Null,5,Null,Null,610,817
Seattle,Los Angeles,2024-01-02,2024-01-03,161,Null,4,Null,Null,205,366
Seattle,Los Angeles,2024-01-02,2024-01-09,161,Null,5,Null,Null,834,995
NYC,Los Angeles,2024-01-02,2024-01-09,264,Null,4,Null,Null,205,469
NYC,Los Angeles,2024-01-02,2024-01-07,264,Null,5,Null,Null,834,1098
Chicago,Los Angeles,2024-01-02,2024-01-03,211,Null,4,Null,Null,205,416
Chicago,Los Angeles,2024-01-02,2024-01-06,211,Null,5,Null,Null,834,1045
San Francisco,Los Angeles,2024-01-02,2024-01-05,141,Null,4,Null,Null,205,346
San Francisco,Los Angeles,2024-01-02,2024-01-03,141,Null,5,Null,Null,834,975
San Diego,Los Angeles,2024-01-02,2024-01-06,162,Null,4,Null,Null,205,367
San Diego,Los Angeles,2024-01-02,2024-01-04,162,Null,5,Null,Null,834,996
Seattle,San Diego,2024-01-02,2024-01-05,175,Null,4,Null,Null,361,536
Seattle,San Diego,2024-01-02,2024-01-04,175,Null,5,Null,Null,1049,1224
NYC,San Diego,2024-01-02,2024-01-05,151,Null,4,Null,Null,361,512
NYC,San Diego,2024-01-02,2024-01-04,151,Null,5,Null,Null,1049,1200
Chicago,San Diego,2024-01-02,2024-01-04,226,Null,4,Null,Null,361,587
Chicago,San Diego,2024-01-02,2024-01-06,226,Null,5,Null,Null,1049,1275
San Francisco,San Diego,2024-01-02,2024-01-07,210,Null,4,Null,Null,361,571
San Francisco,San Diego,2024-01-02,2024-01-05,210,Null,5,Null,Null,1049,1259
Los Angeles,San Diego,2024-01-02,2024-01-05,152,Null,4,Null,Null,361,513
Los Angeles,San Diego,2024-01-02,2024-01-07,152,Null,5,Null,Null,1049,1201
NYC,Seattle,2024-01-02,2024-01-03,324,Null,4,Null,Null,189,513
NYC,Seattle,2024-01-02,2024-01-07,324,Null,5,Null,Null,786,1110
Chicago,Seattle,2024-01-02,2024-01-04,231,Null,4,Null,Null,189,420
Chicago,Seattle,2024-01-02,2024-01-03,231,Null,5,Null,Null,786,1017
San Francisco,Seattle,2024-01-02,2024-01-09,273,Null,4,Null,Null,189,462
San Francisco,Seattle,2024-01-02,2024-01-05,273,Null,5,Null,Null,786,1059
Los Angeles,Seattle,2024-01-02,2024-01-06,219,Null,4,Null,Null,189,408
Los Angeles,Seattle,2024-01-02,2024-01-03,219,Null,5,Null,Null,786,1005
San Diego,Seattle,2024-01-02,2024-01-04,200,Null,4,Null,Null,189,389
San Diego,Seattle,2024-01-02,2024-01-04,200,Null,5,Null,Null,786,986
Seattle,NYC,2024-01-03,2024-01-04,375,Null,4,Null,Null,314,689
Seattle,NYC,2024-01-03,2024-01-04,375,Null,5,Null,Null,908,1283
Chicago,NYC,2024-01-03,2024-01-08,221,Null,4,Null,Null,314,535
Chicago,NYC,2024-01-03,2024-01-08,221,Null,5,Null,Null,908,1129
San Francisco,NYC,2024-01-03,2024-01-08,319,Null,4,Null,Null,314,633
San Francisco,NYC,2024-01-03,2024-01-05,319,Null,5,Null,Null,908,1227
Los Angeles,NYC,2024-01-03,2024-01-06,291,Null,4,Null,Null,314,605
Los Angeles,NYC,2024-01-03,2024-01-09,291,Null,5,Null,Null,908,1199
San Diego,NYC,2024-01-03,2024-01-08,232,Null,4,Null,Null,314,546
San Diego,NYC,2024-01-03,2024-01-07,232,Null,5,Null,Null,908,1140
Seattle,Chicago,2024-01-03,2024-01-08,272,Null,4,Null,Null,183,455
Seattle,Chicago,2024-01-03,2024-01-05,272,Null,5,Null,Null,245,517
NYC,Chicago,2024-01-03,2024-01-04,219,Null,4,Null,Null,183,402
NYC,Chicago,2024-01-03,2024-01-04,219,Null,5,Null,Null,245,464
San Francisco,Chicago,2024-01-03,2024-01-09,229,Null,4,Null,Null,183,412
San Francisco,Chicago,2024-01-03,2024-01-10,229,Null,5,Null,Null,245,474
Los Angeles,Chicago,2024-01-03,2024-01-09,243,Null,4,Null,Null,183,426
Los Angeles,Chicago,2024-01-03,2024-01-05,243,Null,5,Null,Null,245,488
San Diego,Chicago,2024-01-03,2024-01-10,255,Null,4,Null,Null,183,438
San Diego,Chicago,2024-01-03,2024-01-09,255,Null,5,Null,Null,245,500
Seattle,San Francisco,2024-01-03,2024-01-04,269,Null,4,Null,Null,178,447
Seattle,San Francisco,2024-01-03,2024-01-09,269,Null,5,Null,Null,894,1163
NYC,San Francisco,2024-01-03,2024-01-06,218,Null,4,Null,Null,178,396
NYC,San Francisco,2024-01-03,2024-01-08,218,Null,5,Null,Null,894,1112
Chicago,San Francisco,2024-01-03,2024-01-06,216,Null,4,Null,Null,178,394
Chicago,San Francisco,2024-01-03,2024-01-08,216,Null,5,Null,Null,894,1110
Los Angeles,San Francisco,2024-01-03,2024-01-06,123,Null,4,Null,Null,178,301
Los Angeles,San Francisco,2024-01-03,2024-01-05,123,Null,5,Null,Null,894,1017
San Diego,San Francisco,2024-01-03,2024-01-04,213,Null,4,Null,Null,178,391
San Diego,San Francisco,2024-01-03,2024-01-04,213,Null,5,Null,Null,894,1107
Seattle,Los Angeles,2024-01-03,2024-01-05,159,Null,4,Null,Null,228,387
Seattle,Los Angeles,2024-01-03,2024-01-10,159,Null,5,Null,Null,841,1000
NYC,Los Angeles,2024-01-03,2024-01-08,274,Null,4,Null,Null,228,502
NYC,Los Angeles,2024-01-03,2024-01-06,274,Null,5,Null,Null,841,1115
Chicago,Los Angeles,2024-01-03,2024-01-06,209,Null,4,Null,Null,228,437
Chicago,Los Angeles,2024-01-03,2024-01-04,209,Null,5,Null,Null,841,1050
San Francisco,Los Angeles,2024-01-03,2024-01-08,146,Null,4,Null,Null,228,374
San Francisco,Los Angeles,2024-01-03,2024-01-05,146,Null,5,Null,Null,841,987
San Diego,Los Angeles,2024-01-03,2024-01-05,144,Null,4,Null,Null,228,372
San Diego,Los Angeles,2024-01-03,2024-01-04,144,Null,5,Null,Null,841,985
Seattle,San Diego,2024-01-03,2024-01-10,176,Null,4,Null,Null,357,533
Seattle,San Diego,2024-01-03,2024-01-04,176,Null,5,Null,Null,940,1116
NYC,San Diego,2024-01-03,2024-01-05,196,Null,4,Null,Null,357,553
NYC,San Diego,2024-01-03,2024-01-07,196,Null,5,Null,Null,940,1136
Chicago,San Diego,2024-01-03,2024-01-04,211,Null,4,Null,Null,357,568
Chicago,San Diego,2024-01-03,2024-01-08,211,Null,5,Null,Null,940,1151
San Francisco,San Diego,2024-01-03,2024-01-05,196,Null,4,Null,Null,357,553
San Francisco,San Diego,2024-01-03,2024-01-10,196,Null,5,Null,Null,940,1136
Los Angeles,San Diego,2024-01-03,2024-01-05,145,Null,4,Null,Null,357,502
Los Angeles,San Diego,2024-01-03,2024-01-07,145,Null,5,Null,Null,940,1085
NYC,Seattle,2024-01-03,2024-01-05,387,Null,4,Null,Null,247,634
NYC,Seattle,2024-01-03,2024-01-10,387,Null,5,Null,Null,579,966
Chicago,Seattle,2024-01-03,2024-01-08,240,Null,4,Null,Null,247,487
Chicago,Seattle,2024-01-03,2024-01-06,240,Null,5,Null,Null,579,819
San Francisco,Seattle,2024-01-03,2024-01-08,228,Null,4,Null,Null,247,475
San Francisco,Seattle,2024-01-03,2024-01-05,228,Null,5,Null,Null,579,807
Los Angeles,Seattle,2024-01-03,2024-01-06,200,Null,4,Null,Null,247,447
Los Angeles,Seattle,2024-01-03,2024-01-09,200,Null,5,Null,Null,579,779
San Diego,Seattle,2024-01-03,2024-01-07,211,Null,4,Null,Null,247,458
San Diego,Seattle,2024-01-03,2024-01-04,211,Null,5,Null,Null,579,790
Seattle,NYC,2024-01-04,2024-01-10,338,Null,4,Null,Null,377,715
Seattle,NYC,2024-01-04,2024-01-11,338,Null,5,Null,Null,519,857
Chicago,NYC,2024-01-04,2024-01-09,231,Null,4,Null,Null,377,608
Chicago,NYC,2024-01-04,2024-01-08,231,Null,5,Null,Null,519,750
San Francisco,NYC,2024-01-04,2024-01-10,233,Null,4,Null,Null,377,610
San Francisco,NYC,2024-01-04,2024-01-06,233,Null,5,Null,Null,519,752
Los Angeles,NYC,2024-01-04,2024-01-07,287,Null,4,Null,Null,377,664
Los Angeles,NYC,2024-01-04,2024-01-10,287,Null,5,Null,Null,519,806
San Diego,NYC,2024-01-04,2024-01-09,286,Null,4,Null,Null,377,663
San Diego,NYC,2024-01-04,2024-01-06,286,Null,5,Null,Null,519,805
Seattle,Chicago,2024-01-04,2024-01-08,276,Null,4,Null,Null,191,467
Seattle,Chicago,2024-01-04,2024-01-06,276,Null,5,Null,Null,1123,1399
NYC,Chicago,2024-01-04,2024-01-06,216,Null,4,Null,Null,191,407
NYC,Chicago,2024-01-04,2024-01-09,216,Null,5,Null,Null,1123,1339
San Francisco,Chicago,2024-01-04,2024-01-09,232,Null,4,Null,Null,191,423
San Francisco,Chicago,2024-01-04,2024-01-09,232,Null,5,Null,Null,1123,1355
Los Angeles,Chicago,2024-01-04,2024-01-05,111,Null,4,Null,Null,191,302
Los Angeles,Chicago,2024-01-04,2024-01-08,111,Null,5,Null,Null,1123,1234
San Diego,Chicago,2024-01-04,2024-01-08,268,Null,4,Null,Null,191,459
San Diego,Chicago,2024-01-04,2024-01-06,268,Null,5,Null,Null,1123,1391
Seattle,San Francisco,2024-01-04,2024-01-07,253,Null,4,Null,Null,189,442
Seattle,San Francisco,2024-01-04,2024-01-05,253,Null,5,Null,Null,1204,1457
NYC,San Francisco,2024-01-04,2024-01-06,243,Null,4,Null,Null,189,432
NYC,San Francisco,2024-01-04,2024-01-05,243,Null,5,Null,Null,1204,1447
Chicago,San Francisco,2024-01-04,2024-01-07,219,Null,4,Null,Null,189,408
Chicago,San Francisco,2024-01-04,2024-01-11,219,Null,5,Null,Null,1204,1423
Los Angeles,San Francisco,2024-01-04,2024-01-11,113,Null,4,Null,Null,189,302
Los Angeles,San Francisco,2024-01-04,2024-01-07,113,Null,5,Null,Null,1204,1317
San Diego,San Francisco,2024-01-04,2024-01-08,206,Null,4,Null,Null,189,395
San Diego,San Francisco,2024-01-04,2024-01-11,206,Null,5,Null,Null,1204,1410
Seattle,Los Angeles,2024-01-04,2024-01-09,179,Null,4,Null,Null,205,384
Seattle,Los Angeles,2024-01-04,2024-01-09,179,Null,5,Null,Null,584,763
NYC,Los Angeles,2024-01-04,2024-01-05,184,Null,4,Null,Null,205,389
NYC,Los Angeles,2024-01-04,2024-01-09,184,Null,5,Null,Null,584,768
Chicago,Los Angeles,2024-01-04,2024-01-05,209,Null,4,Null,Null,205,414
Chicago,Los Angeles,2024-01-04,2024-01-10,209,Null,5,Null,Null,584,793
San Francisco,Los Angeles,2024-01-04,2024-01-09,123,Null,4,Null,Null,205,328
San Francisco,Los Angeles,2024-01-04,2024-01-06,123,Null,5,Null,Null,584,707
San Diego,Los Angeles,2024-01-04,2024-01-11,153,Null,4,Null,Null,205,358
San Diego,Los Angeles,2024-01-04,2024-01-06,153,Null,5,Null,Null,584,737
Seattle,San Diego,2024-01-04,2024-01-06,166,Null,4,Null,Null,365,531
Seattle,San Diego,2024-01-04,2024-01-05,166,Null,5,Null,Null,451,617
NYC,San Diego,2024-01-04,2024-01-10,201,Null,4,Null,Null,365,566
NYC,San Diego,2024-01-04,2024-01-07,201,Null,5,Null,Null,451,652
Chicago,San Diego,2024-01-04,2024-01-11,211,Null,4,Null,Null,365,576
Chicago,San Diego,2024-01-04,2024-01-07,211,Null,5,Null,Null,451,662
San Francisco,San Diego,2024-01-04,2024-01-06,199,Null,4,Null,Null,365,564
San Francisco,San Diego,2024-01-04,2024-01-06,199,Null,5,Null,Null,451,650
Los Angeles,San Diego,2024-01-04,2024-01-11,135,Null,4,Null,Null,365,500
Los Angeles,San Diego,2024-01-04,2024-01-11,135,Null,5,Null,Null,451,586
NYC,Seattle,2024-01-04,2024-01-11,319,Null,4,Null,Null,222,541
NYC,Seattle,2024-01-04,2024-01-05,319,Null,5,Null,Null,806,1125
Chicago,Seattle,2024-01-04,2024-01-10,209,Null,4,Null,Null,222,431
Chicago,Seattle,2024-01-04,2024-01-10,209,Null,5,Null,Null,806,1015
San Francisco,Seattle,2024-01-04,2024-01-09,299,Null,4,Null,Null,222,521
San Francisco,Seattle,2024-01-04,2024-01-05,299,Null,5,Null,Null,806,1105
Los Angeles,Seattle,2024-01-04,2024-01-08,145,Null,4,Null,Null,222,367
Los Angeles,Seattle,2024-01-04,2024-01-05,145,Null,5,Null,Null,806,951
San Diego,Seattle,2024-01-04,2024-01-08,246,Null,4,Null,Null,222,468
San Diego,Seattle,2024-01-04,2024-01-09,246,Null,5,Null,Null,806,1052
Seattle,NYC,2024-01-05,2024-01-12,333,Null,4,Null,Null,417,750
Seattle,NYC,2024-01-05,2024-01-10,333,Null,5,Null,Null,485,818
Chicago,NYC,2024-01-05,2024-01-11,221,Null,4,Null,Null,417,638
Chicago,NYC,2024-01-05,2024-01-11,221,Null,5,Null,Null,485,706
San Francisco,NYC,2024-01-05,2024-01-12,223,Null,4,Null,Null,417,640
San Francisco,NYC,2024-01-05,2024-01-06,223,Null,5,Null,Null,485,708
Los Angeles,NYC,2024-01-05,2024-01-08,276,Null,4,Null,Null,417,693
Los Angeles,NYC,2024-01-05,2024-01-10,276,Null,5,Null,Null,485,761
San Diego,NYC,2024-01-05,2024-01-11,219,Null,4,Null,Null,417,636
San Diego,NYC,2024-01-05,2024-01-12,219,Null,5,Null,Null,485,704
Seattle,Chicago,2024-01-05,2024-01-09,241,Null,4,Null,Null,136,377
Seattle,Chicago,2024-01-05,2024-01-07,241,Null,5,Null,Null,1145,1386
NYC,Chicago,2024-01-05,2024-01-10,192,Null,4,Null,Null,136,328
NYC,Chicago,2024-01-05,2024-01-12,192,Null,5,Null,Null,1145,1337
San Francisco,Chicago,2024-01-05,2024-01-08,287,Null,4,Null,Null,136,423
San Francisco,Chicago,2024-01-05,2024-01-10,287,Null,5,Null,Null,1145,1432
Los Angeles,Chicago,2024-01-05,2024-01-10,209,Null,4,Null,Null,136,345
Los Angeles,Chicago,2024-01-05,2024-01-09,209,Null,5,Null,Null,1145,1354
San Diego,Chicago,2024-01-05,2024-01-07,256,Null,4,Null,Null,136,392
San Diego,Chicago,2024-01-05,2024-01-09,256,Null,5,Null,Null,1145,1401
Seattle,San Francisco,2024-01-05,2024-01-11,231,Null,4,Null,Null,220,451
Seattle,San Francisco,2024-01-05,2024-01-09,231,Null,5,Null,Null,1248,1479
NYC,San Francisco,2024-01-05,2024-01-10,209,Null,4,Null,Null,220,429
NYC,San Francisco,2024-01-05,2024-01-07,209,Null,5,Null,Null,1248,1457
Chicago,San Francisco,2024-01-05,2024-01-10,219,Null,4,Null,Null,220,439
Chicago,San Francisco,2024-01-05,2024-01-08,219,Null,5,Null,Null,1248,1467
Los Angeles,San Francisco,2024-01-05,2024-01-06,109,Null,4,Null,Null,220,329
Los Angeles,San Francisco,2024-01-05,2024-01-11,109,Null,5,Null,Null,1248,1357
San Diego,San Francisco,2024-01-05,2024-01-06,199,Null,4,Null,Null,220,419
San Diego,San Francisco,2024-01-05,2024-01-08,199,Null,5,Null,Null,1248,1447
Seattle,Los Angeles,2024-01-05,2024-01-09,149,Null,4,Null,Null,181,330
Seattle,Los Angeles,2024-01-05,2024-01-06,149,Null,5,Null,Null,2990,3139
NYC,Los Angeles,2024-01-05,2024-01-12,241,Null,4,Null,Null,181,422
NYC,Los Angeles,2024-01-05,2024-01-10,241,Null,5,Null,Null,2990,3231
Chicago,Los Angeles,2024-01-05,2024-01-09,208,Null,4,Null,Null,181,389
Chicago,Los Angeles,2024-01-05,2024-01-12,208,Null,5,Null,Null,2990,3198
San Francisco,Los Angeles,2024-01-05,2024-01-10,119,Null,4,Null,Null,181,300
San Francisco,Los Angeles,2024-01-05,2024-01-06,119,Null,5,Null,Null,2990,3109
San Diego,Los Angeles,2024-01-05,2024-01-08,158,Null,4,Null,Null,181,339
San Diego,Los Angeles,2024-01-05,2024-01-11,158,Null,5,Null,Null,2990,3148
Seattle,San Diego,2024-01-05,2024-01-08,162,Null,4,Null,Null,342,504
Seattle,San Diego,2024-01-05,2024-01-09,162,Null,5,Null,Null,417,579
NYC,San Diego,2024-01-05,2024-01-10,187,Null,4,Null,Null,342,529
NYC,San Diego,2024-01-05,2024-01-09,187,Null,5,Null,Null,417,604
Chicago,San Diego,2024-01-05,2024-01-09,209,Null,4,Null,Null,342,551
Chicago,San Diego,2024-01-05,2024-01-12,209,Null,5,Null,Null,417,626
San Francisco,San Diego,2024-01-05,2024-01-06,199,Null,4,Null,Null,342,541
San Francisco,San Diego,2024-01-05,2024-01-11,199,Null,5,Null,Null,417,616
Los Angeles,San Diego,2024-01-05,2024-01-12,146,Null,4,Null,Null,342,488
Los Angeles,San Diego,2024-01-05,2024-01-11,146,Null,5,Null,Null,417,563
NYC,Seattle,2024-01-05,2024-01-08,341,Null,4,Null,Null,235,576
NYC,Seattle,2024-01-05,2024-01-06,341,Null,5,Null,Null,658,999
Chicago,Seattle,2024-01-05,2024-01-08,213,Null,4,Null,Null,235,448
Chicago,Seattle,2024-01-05,2024-01-06,213,Null,5,Null,Null,658,871
San Francisco,Seattle,2024-01-05,2024-01-08,269,Null,4,Null,Null,235,504
San Francisco,Seattle,2024-01-05,2024-01-08,269,Null,5,Null,Null,658,927
Los Angeles,Seattle,2024-01-05,2024-01-08,153,Null,4,Null,Null,235,388
Los Angeles,Seattle,2024-01-05,2024-01-11,153,Null,5,Null,Null,658,811
San Diego,Seattle,2024-01-05,2024-01-12,200,Null,4,Null,Null,235,435
San Diego,Seattle,2024-01-05,2024-01-10,200,Null,5,Null,Null,658,858
Seattle,NYC,2024-01-06,2024-01-13,400,Null,4,Null,Null,408,808
Seattle,NYC,2024-01-06,2024-01-10,400,Null,5,Null,Null,891,1291
Chicago,NYC,2024-01-06,2024-01-10,232,Null,4,Null,Null,408,640
Chicago,NYC,2024-01-06,2024-01-11,232,Null,5,Null,Null,891,1123
San Francisco,NYC,2024-01-06,2024-01-10,376,Null,4,Null,Null,408,784
San Francisco,NYC,2024-01-06,2024-01-07,376,Null,5,Null,Null,891,1267
Los Angeles,NYC,2024-01-06,2024-01-09,278,Null,4,Null,Null,408,686
Los Angeles,NYC,2024-01-06,2024-01-13,278,Null,5,Null,Null,891,1169
San Diego,NYC,2024-01-06,2024-01-08,299,Null,4,Null,Null,408,707
San Diego,NYC,2024-01-06,2024-01-11,299,Null,5,Null,Null,891,1190
Seattle,Chicago,2024-01-06,2024-01-08,301,Null,4,Null,Null,211,512
Seattle,Chicago,2024-01-06,2024-01-07,301,Null,5,Null,Null,855,1156
NYC,Chicago,2024-01-06,2024-01-07,221,Null,4,Null,Null,211,432
NYC,Chicago,2024-01-06,2024-01-12,221,Null,5,Null,Null,855,1076
San Francisco,Chicago,2024-01-06,2024-01-11,256,Null,4,Null,Null,211,467
San Francisco,Chicago,2024-01-06,2024-01-09,256,Null,5,Null,Null,855,1111
Los Angeles,Chicago,2024-01-06,2024-01-09,225,Null,4,Null,Null,211,436
Los Angeles,Chicago,2024-01-06,2024-01-09,225,Null,5,Null,Null,855,1080
San Diego,Chicago,2024-01-06,2024-01-07,276,Null,4,Null,Null,211,487
San Diego,Chicago,2024-01-06,2024-01-10,276,Null,5,Null,Null,855,1131
Seattle,San Francisco,2024-01-06,2024-01-08,264,Null,4,Null,Null,274,538
Seattle,San Francisco,2024-01-06,2024-01-12,264,Null,5,Null,Null,977,1241
NYC,San Francisco,2024-01-06,2024-01-08,220,Null,4,Null,Null,274,494
NYC,San Francisco,2024-01-06,2024-01-11,220,Null,5,Null,Null,977,1197
Chicago,San Francisco,2024-01-06,2024-01-11,221,Null,4,Null,Null,274,495
Chicago,San Francisco,2024-01-06,2024-01-08,221,Null,5,Null,Null,977,1198
Los Angeles,San Francisco,2024-01-06,2024-01-13,131,Null,4,Null,Null,274,405
Los Angeles,San Francisco,2024-01-06,2024-01-08,131,Null,5,Null,Null,977,1108
San Diego,San Francisco,2024-01-06,2024-01-09,211,Null,4,Null,Null,274,485
San Diego,San Francisco,2024-01-06,2024-01-09,211,Null,5,Null,Null,977,1188
