Origin,City,Date,Flight Price,Hotel Name,Stars,Address,Amenities,Night Price($)
Seattle,Chicago,2024-01-04,276,Null,5,Null,Null,1123
NYC,Chicago,2024-01-04,216,Null,4,Null,Null,191
NYC,Chicago,2024-01-04,216,Null,5,Null,Null,1123
San Francisco,Chicago,2024-01-04,232,Null,4,Null,Null,191
San Francisco,Chicago,2024-01-04,232,Null,5,Null,Null,1123
Los Angeles,Chicago,2024-01-04,111,Null,4,Null,Null,191
Los Angeles,Chicago,2024-01-04,111,Null,5,Null,Null,1123
San Diego,Chicago,2024-01-04,268,Null,4,Null,Null,191
San Diego,Chicago,2024-01-04,268,Null,5,Null,Null,1123
Seattle,San Francisco,2024-01-04,253,Null,4,Null,Null,189
Seattle,San Francisco,2024-01-04,253,Null,5,Null,Null,1204
NYC,San Francisco,2024-01-04,243,Null,4,Null,Null,189
NYC,San Francisco,2024-01-04,243,Null,5,Null,Null,1204
Chicago,San Francisco,2024-01-04,219,Null,4,Null,Null,189
Chicago,San Francisco,2024-01-04,219,Null,5,Null,Null,1204
Los Angeles,San Francisco,2024-01-04,113,Null,4,Null,Null,189
Los Angeles,San Francisco,2024-01-04,113,Null,5,Null,Null,1204
San Diego,San Francisco,2024-01-04,206,Null,4,Null,Null,189
San Diego,San Francisco,2024-01-04,206,Null,5,Null,Null,1204
Seattle,Los Angeles,2024-01-04,179,Null,4,Null,Null,205
Seattle,Los Angeles,2024-01-04,179,Null,5,Null,Null,584
NYC,Los Angeles,2024-01-04,184,Null,4,Null,Null,205
NYC,Los Angeles,2024-01-04,184,Null,5,Null,Null,584
Chicago,Los Angeles,2024-01-04,209,Null,4,Null,Null,205
Chicago,Los Angeles,2024-01-04,209,Null,5,Null,Null,584
San Francisco,Los Angeles,2024-01-04,123,Null,4,Null,Null,205
San Francisco,Los Angeles,2024-01-04,123,Null,5,Null,Null,584
San Diego,Los Angeles,2024-01-04,153,Null,4,Null,Null,205
San Diego,Los Angeles,2024-01-04,153,Null,5,Null,Null,584
Seattle,San Diego,2024-01-04,166,Null,4,Null,Null,365
Seattle,San Diego,2024-01-04,166,Null,5,Null,Null,451
NYC,San Diego,2024-01-04,201,Null,4,Null,Null,365
NYC,San Diego,2024-01-04,201,Null,5,Null,Null,451
Chicago,San Diego,2024-01-04,211,Null,4,Null,Null,365
Chicago,San Diego,2024-01-04,211,Null,5,Null,Null,451
San Francisco,San Diego,2024-01-04,199,Null,4,Null,Null,365
San Francisco,San Diego,2024-01-04,199,Null,5,Null,Null,451
Los Angeles,San Diego,2024-01-04,135,Null,4,Null,Null,365
Los Angeles,San Diego,2024-01-04,135,Null,5,Null,Null,451
NYC,Seattle,2024-01-04,319,Null,4,Null,Null,222
NYC,Seattle,2024-01-04,319,Null,5,Null,Null,806
Chicago,Seattle,2024-01-04,209,Null,4,Null,Null,222
Chicago,Seattle,2024-01-04,209,Null,5,Null,Null,806
San Francisco,Seattle,2024-01-04,299,Null,4,Null,Null,222
San Francisco,Seattle,2024-01-04,299,Null,5,Null,Null,806
Los Angeles,Seattle,2024-01-04,145,Null,4,Null,Null,222
Los Angeles,Seattle,2024-01-04,145,Null,5,Null,Null,806
San Diego,Seattle,2024-01-04,246,Null,4,Null,Null,222
San Diego,Seattle,2024-01-04,246,Null,5,Null,Null,806
Seattle,NYC,2024-01-05,333,Null,4,Null,Null,417
Seattle,NYC,2024-01-05,333,Null,5,Null,Null,485
Chicago,NYC,2024-01-05,221,Null,4,Null,Null,417
Chicago,NYC,2024-01-05,221,Null,5,Null,Null,485
San Francisco,NYC,2024-01-05,223,Null,4,Null,Null,417
San Francisco,NYC,2024-01-05,223,Null,5,Null,Null,485
Los Angeles,NYC,2024-01-05,276,Null,4,Null,Null,417
Los Angeles,NYC,2024-01-05,276,Null,5,Null,Null,485
San Diego,NYC,2024-01-05,219,Null,4,Null,Null,417
San Diego,NYC,2024-01-05,219,Null,5,Null,Null,485
Seattle,Chicago,2024-01-05,241,Null,4,Null,Null,136
Seattle,Chicago,2024-01-05,241,Null,5,Null,Null,1145
NYC,Chicago,2024-01-05,192,Null,4,Null,Null,136
NYC,Chicago,2024-01-05,192,Null,5,Null,Null,1145
San Francisco,Chicago,2024-01-05,287,Null,4,Null,Null,136
San Francisco,Chicago,2024-01-05,287,Null,5,Null,Null,1145
Los Angeles,Chicago,2024-01-05,209,Null,4,Null,Null,136
Los Angeles,Chicago,2024-01-05,209,Null,5,Null,Null,1145
San Diego,Chicago,2024-01-05,256,Null,4,Null,Null,136
San Diego,Chicago,2024-01-05,256,Null,5,Null,Null,1145
Seattle,San Francisco,2024-01-05,231,Null,4,Null,Null,220
Seattle,San Francisco,2024-01-05,231,Null,5,Null,Null,1248
NYC,San Francisco,2024-01-05,209,Null,4,Null,Null,220
NYC,San Francisco,2024-01-05,209,Null,5,Null,Null,1248
Chicago,San Francisco,2024-01-05,219,Null,4,Null,Null,220
Chicago,San Francisco,2024-01-05,219,Null,5,Null,Null,1248
Los Angeles,San Francisco,2024-01-05,109,Null,4,Null,Null,220
Los Angeles,San Francisco,2024-01-05,109,Null,5,Null,Null,1248
San Diego,San Francisco,2024-01-05,199,Null,4,Null,Null,220
San Diego,San Francisco,2024-01-05,199,Null,5,Null,Null,1248
Seattle,Los Angeles,2024-01-05,149,Null,4,Null,Null,181
Seattle,Los Angeles,2024-01-05,149,Null,5,Null,Null,2990
NYC,Los Angeles,2024-01-05,241,Null,4,Null,Null,181
NYC,Los Angeles,2024-01-05,241,Null,5,Null,Null,2990
Chicago,Los Angeles,2024-01-05,208,Null,4,Null,Null,181
Chicago,Los Angeles,2024-01-05,208,Null,5,Null,Null,2990
San Francisco,Los Angeles,2024-01-05,119,Null,4,Null,Null,181
San Francisco,Los Angeles,2024-01-05,119,Null,5,Null,Null,2990
San Diego,Los Angeles,2024-01-05,158,Null,4,Null,Null,181
San Diego,Los Angeles,2024-01-05,158,Null,5,Null,Null,2990
Seattle,San Diego,2024-01-05,162,Null,4,Null,Null,342
Seattle,San Diego,2024-01-05,162,Null,5,Null,Null,417
NYC,San Diego,2024-01-05,187,Null,4,Null,Null,342
NYC,San Diego,2024-01-05,187,Null,5,Null,Null,417
Chicago,San Diego,2024-01-05,209,Null,4,Null,Null,342
Chicago,San Diego,2024-01-05,209,Null,5,Null,Null,417
San Francisco,San Diego,2024-01-05,199,Null,4,Null,Null,342
San Francisco,San Diego,2024-01-05,199,Null,5,Null,Null,417
Los Angeles,San Diego,2024-01-05,146,Null,4,Null,Null,342
Los Angeles,San Diego,2024-01-05,146,Null,5,Null,Null,417
NYC,Seattle,2024-01-05,341,Null,4,Null,Null,235
NYC,Seattle,2024-01-05,341,Null,5,Null,Null,658
Chicago,Seattle,2024-01-05,213,Null,4,Null,Null,235
Chicago,Seattle,2024-01-05,213,Null,5,Null,Null,658
San Francisco,Seattle,2024-01-05,269,Null,4,Null,Null,235
San Francisco,Seattle,2024-01-05,269,Null,5,Null,Null,658
Los Angeles,Seattle,2024-01-05,153,Null,4,Null,Null,235
Los Angeles,Seattle,2024-01-05,153,Null,5,Null,Null,658
San Diego,Seattle,2024-01-05,200,Null,4,Null,Null,235
San Diego,Seattle,2024-01-05,200,Null,5,Null,Null,658
Seattle,NYC,2024-01-06,400,Null,4,Null,Null,408
Seattle,NYC,2024-01-06,400,Null,5,Null,Null,891
Chicago,NYC,2024-01-06,232,Null,4,Null,Null,408
Chicago,NYC,2024-01-06,232,Null,5,Null,Null,891
San Francisco,NYC,2024-01-06,376,Null,4,Null,Null,408
San Francisco,NYC,2024-01-06,376,Null,5,Null,Null,891
Los Angeles,NYC,2024-01-06,278,Null,4,Null,Null,408
Los Angeles,NYC,2024-01-06,278,Null,5,Null,Null,891
San Diego,NYC,2024-01-06,299,Null,4,Null,Null,408
San Diego,NYC,2024-01-06,299,Null,5,Null,Null,891
Seattle,Chicago,2024-01-06,301,Null,4,Null,Null,211
Seattle,Chicago,2024-01-06,301,Null,5,Null,Null,855
NYC,Chicago,2024-01-06,221,Null,4,Null,Null,211
NYC,Chicago,2024-01-06,221,Null,5,Null,Null,855
San Francisco,Chicago,2024-01-06,256,Null,4,Null,Null,211
San Francisco,Chicago,2024-01-06,256,Null,5,Null,Null,855
Los Angeles,Chicago,2024-01-06,225,Null,4,Null,Null,211
Los Angeles,Chicago,2024-01-06,225,Null,5,Null,Null,855
San Diego,Chicago,2024-01-06,276,Null,4,Null,Null,211
San Diego,Chicago,2024-01-06,276,Null,5,Null,Null,855
Seattle,San Francisco,2024-01-06,264,Null,4,Null,Null,274
Seattle,San Francisco,2024-01-06,264,Null,5,Null,Null,977
NYC,San Francisco,2024-01-06,220,Null,4,Null,Null,274
NYC,San Francisco,2024-01-06,220,Null,5,Null,Null,977
Chicago,San Francisco,2024-01-06,221,Null,4,Null,Null,274
Chicago,San Francisco,2024-01-06,221,Null,5,Null,Null,977
Los Angeles,San Francisco,2024-01-06,131,Null,4,Null,Null,274
Los Angeles,San Francisco,2024-01-06,131,Null,5,Null,Null,977
San Diego,San Francisco,2024-01-06,211,Null,4,Null,Null,274
San Diego,San Francisco,2024-01-06,211,Null,5,Null,Null,977
Seattle,Los Angeles,2024-01-06,181,Null,4,Null,Null,224
Seattle,Los Angeles,2024-01-06,181,Null,5,Null,Null,1340
NYC,Los Angeles,2024-01-06,251,Null,4,Null,Null,224
NYC,Los Angeles,2024-01-06,251,Null,5,Null,Null,1340
Chicago,Los Angeles,2024-01-06,219,Null,4,Null,Null,224
Chicago,Los Angeles,2024-01-06,219,Null,5,Null,Null,1340
San Francisco,Los Angeles,2024-01-06,152,Null,4,Null,Null,224
San Francisco,Los Angeles,2024-01-06,152,Null,5,Null,Null,1340
San Diego,Los Angeles,2024-01-06,167,Null,4,Null,Null,224
San Diego,Los Angeles,2024-01-06,167,Null,5,Null,Null,1340
Seattle,San Diego,2024-01-06,167,Null,4,Null,Null,401
Seattle,San Diego,2024-01-06,167,Null,5,Null,Null,855
NYC,San Diego,2024-01-06,191,Null,4,Null,Null,401
NYC,San Diego,2024-01-06,191,Null,5,Null,Null,855
Chicago,San Diego,2024-01-06,241,Null,4,Null,Null,401
Chicago,San Diego,2024-01-06,241,Null,5,Null,Null,855
San Francisco,San Diego,2024-01-06,200,Null,4,Null,Null,401
San Francisco,San Diego,2024-01-06,200,Null,5,Null,Null,855
Los Angeles,San Diego,2024-01-06,134,Null,4,Null,Null,401
Los Angeles,San Diego,2024-01-06,134,Null,5,Null,Null,855
NYC,Seattle,2024-01-06,320,Null,4,Null,Null,318
NYC,Seattle,2024-01-06,320,Null,5,Null,Null,282
Chicago,Seattle,2024-01-06,234,Null,4,Null,Null,318
Chicago,Seattle,2024-01-06,234,Null,5,Null,Null,282
San Francisco,Seattle,2024-01-06,265,Null,4,Null,Null,318
San Francisco,Seattle,2024-01-06,265,Null,5,Null,Null,282
Los Angeles,Seattle,2024-01-06,153,Null,4,Null,Null,318
Los Angeles,Seattle,2024-01-06,153,Null,5,Null,Null,282
San Diego,Seattle,2024-01-06,211,Null,4,Null,Null,318
San Diego,Seattle,2024-01-06,211,Null,5,Null,Null,282
Seattle,NYC,2024-01-07,408,Null,4,Null,Null,445
Seattle,NYC,2024-01-07,408,Null,5,Null,Null,1337
Chicago,NYC,2024-01-07,245,Null,4,Null,Null,445
Chicago,NYC,2024-01-07,245,Null,5,Null,Null,1337
San Francisco,NYC,2024-01-07,243,Null,4,Null,Null,445
San Francisco,NYC,2024-01-07,243,Null,5,Null,Null,1337
Los Angeles,NYC,2024-01-07,286,Null,4,Null,Null,445
Los Angeles,NYC,2024-01-07,286,Null,5,Null,Null,1337
San Diego,NYC,2024-01-07,246,Null,4,Null,Null,445
San Diego,NYC,2024-01-07,246,Null,5,Null,Null,1337
Seattle,Chicago,2024-01-07,290,Null,4,Null,Null,189
Seattle,Chicago,2024-01-07,290,Null,5,Null,Null,1058
NYC,Chicago,2024-01-07,244,Null,4,Null,Null,189
NYC,Chicago,2024-01-07,244,Null,5,Null,Null,1058
San Francisco,Chicago,2024-01-07,244,Null,4,Null,Null,189
San Francisco,Chicago,2024-01-07,244,Null,5,Null,Null,1058
Los Angeles,Chicago,2024-01-07,233,Null,4,Null,Null,189
Los Angeles,Chicago,2024-01-07,233,Null,5,Null,Null,1058
San Diego,Chicago,2024-01-07,284,Null,4,Null,Null,189
San Diego,Chicago,2024-01-07,284,Null,5,Null,Null,1058
Seattle,San Francisco,2024-01-07,287,Null,4,Null,Null,260
Seattle,San Francisco,2024-01-07,287,Null,5,Null,Null,1491
NYC,San Francisco,2024-01-07,236,Null,4,Null,Null,260
NYC,San Francisco,2024-01-07,236,Null,5,Null,Null,1491
Chicago,San Francisco,2024-01-07,235,Null,4,Null,Null,260
Chicago,San Francisco,2024-01-07,235,Null,5,Null,Null,1491
Los Angeles,San Francisco,2024-01-07,129,Null,4,Null,Null,260
Los Angeles,San Francisco,2024-01-07,129,Null,5,Null,Null,1491
San Diego,San Francisco,2024-01-07,209,Null,4,Null,Null,260
San Diego,San Francisco,2024-01-07,209,Null,5,Null,Null,1491
Seattle,Los Angeles,2024-01-07,178,Null,4,Null,Null,267
Seattle,Los Angeles,2024-01-07,178,Null,5,Null,Null,2999
NYC,Los Angeles,2024-01-07,265,Null,4,Null,Null,267
NYC,Los Angeles,2024-01-07,265,Null,5,Null,Null,2999
Chicago,Los Angeles,2024-01-07,211,Null,4,Null,Null,267
Chicago,Los Angeles,2024-01-07,211,Null,5,Null,Null,2999
San Francisco,Los Angeles,2024-01-07,135,Null,4,Null,Null,267
San Francisco,Los Angeles,2024-01-07,135,Null,5,Null,Null,2999
San Diego,Los Angeles,2024-01-07,157,Null,4,Null,Null,267
San Diego,Los Angeles,2024-01-07,157,Null,5,Null,Null,2999
Seattle,San Diego,2024-01-07,179,Null,4,Null,Null,390
Seattle,San Diego,2024-01-07,179,Null,5,Null,Null,718
NYC,San Diego,2024-01-07,198,Null,4,Null,Null,390
NYC,San Diego,2024-01-07,198,Null,5,Null,Null,718
Chicago,San Diego,2024-01-07,233,Null,4,Null,Null,390
Chicago,San Diego,2024-01-07,233,Null,5,Null,Null,718
San Francisco,San Diego,2024-01-07,198,Null,4,Null,Null,390
San Francisco,San Diego,2024-01-07,198,Null,5,Null,Null,718
Los Angeles,San Diego,2024-01-07,154,Null,4,Null,Null,390
Los Angeles,San Diego,2024-01-07,154,Null,5,Null,Null,718
NYC,Seattle,2024-01-07,342,Null,4,Null,Null,263
NYC,Seattle,2024-01-07,342,Null,5,Null,Null,863
Chicago,Seattle,2024-01-07,244,Null,4,Null,Null,263
Chicago,Seattle,2024-01-07,244,Null,5,Null,Null,863
San Francisco,Seattle,2024-01-07,278,Null,4,Null,Null,263
San Francisco,Seattle,2024-01-07,278,Null,5,Null,Null,863
Los Angeles,Seattle,2024-01-07,165,Null,4,Null,Null,263
Los Angeles,Seattle,2024-01-07,165,Null,5,Null,Null,863
San Diego,Seattle,2024-01-07,209,Null,4,Null,Null,263
San Diego,Seattle,2024-01-07,209,Null,5,Null,Null,863
Seattle,NYC,2024-01-08,289,Null,4,Null,Null,416
Seattle,NYC,2024-01-08,289,Null,5,Null,Null,1686
Chicago,NYC,2024-01-08,166,Null,4,Null,Null,416
